year,date,maxtemp,day
1920,1920-01-01,41,1
1920,1920-01-02,28,2
1920,1920-01-03,23,3
1920,1920-01-04,19,4
1920,1920-01-05,25,5
1920,1920-01-06,37,6
1920,1920-01-07,43,7
1920,1920-01-08,45,8
1920,1920-01-09,40,9
1920,1920-01-10,29,10
1920,1920-01-11,31,11
1920,1920-01-12,31,12
1920,1920-01-13,30,13
1920,1920-01-14,26,14
1920,1920-01-15,18,15
1920,1920-01-16,17,16
1920,1920-01-17,32,17
1920,1920-01-18,19,18
1920,1920-01-19,17,19
1920,1920-01-20,27,20
1920,1920-01-21,35,21
1920,1920-01-22,27,22
1920,1920-01-23,32,23
1920,1920-01-24,30,24
1920,1920-01-25,25,25
1920,1920-01-26,22,26
1920,1920-01-27,48,27
1920,1920-01-28,39,28
1920,1920-01-29,23,29
1920,1920-01-30,42,30
1920,1920-01-31,12,31
1920,1920-02-01,22,32
1920,1920-02-02,42,33
1920,1920-02-03,45,34
1920,1920-02-04,34,35
1920,1920-02-05,30,36
1920,1920-02-06,34,37
1920,1920-02-07,37,38
1920,1920-02-08,34,39
1920,1920-02-09,33,40
1920,1920-02-10,36,41
1920,1920-02-11,40,42
1920,1920-02-12,36,43
1920,1920-02-13,36,44
1920,1920-02-14,44,45
1920,1920-02-15,42,46
1920,1920-02-16,22,47
1920,1920-02-17,35,48
1920,1920-02-18,52,49
1920,1920-02-19,39,50
1920,1920-02-20,32,51
1920,1920-02-21,34,52
1920,1920-02-22,34,53
1920,1920-02-23,33,54
1920,1920-02-24,35,55
1920,1920-02-25,35,56
1920,1920-02-26,26,57
1920,1920-02-27,16,58
1920,1920-02-28,26,59
1920,1920-02-29,38,60
1920,1920-03-01,40,61
1920,1920-03-02,25,62
1920,1920-03-03,46,63
1920,1920-03-04,39,64
1920,1920-03-05,45,65
1920,1920-03-06,40,66
1920,1920-03-07,25,67
1920,1920-03-08,32,68
1920,1920-03-09,42,69
1920,1920-03-10,51,70
1920,1920-03-11,50,71
1920,1920-03-12,53,72
1920,1920-03-13,55,73
1920,1920-03-14,30,74
1920,1920-03-15,43,75
1920,1920-03-16,58,76
1920,1920-03-17,50,77
1920,1920-03-18,37,78
1920,1920-03-19,40,79
1920,1920-03-20,35,80
1920,1920-03-21,48,81
1920,1920-03-22,54,82
1920,1920-03-23,69,83
1920,1920-03-24,72,84
1920,1920-03-25,58,85
1920,1920-03-26,53,86
1920,1920-03-27,65,87
1920,1920-03-28,66,88
1920,1920-03-29,57,89
1920,1920-03-30,52,90
1920,1920-03-31,59,91
1920,1920-04-01,43,92
1920,1920-04-02,41,93
1920,1920-04-03,61,94
1920,1920-04-04,48,95
1920,1920-04-05,59,96
1920,1920-04-06,43,97
1920,1920-04-07,39,98
1920,1920-04-08,37,99
1920,1920-04-09,41,100
1920,1920-04-10,43,101
1920,1920-04-11,49,102
1920,1920-04-12,57,103
1920,1920-04-13,55,104
1920,1920-04-14,54,105
1920,1920-04-15,60,106
1920,1920-04-16,59,107
1920,1920-04-17,46,108
1920,1920-04-18,48,109
1920,1920-04-19,66,110
1920,1920-04-20,67,111
1920,1920-04-21,54,112
1920,1920-04-22,55,113
1920,1920-04-23,56,114
1920,1920-04-24,54,115
1920,1920-04-25,54,116
1920,1920-04-26,64,117
1920,1920-04-27,46,118
1920,1920-04-28,46,119
1920,1920-04-29,59,120
1920,1920-04-30,60,121
1920,1920-05-01,54,122
1920,1920-05-02,53,123
1920,1920-05-03,52,124
1920,1920-05-04,45,125
1920,1920-05-05,50,126
1920,1920-05-06,62,127
1920,1920-05-07,67,128
1920,1920-05-08,55,129
1920,1920-05-09,69,130
1920,1920-05-10,72,131
1920,1920-05-11,53,132
1920,1920-05-12,66,133
1920,1920-05-13,50,134
1920,1920-05-14,57,135
1920,1920-05-15,55,136
1920,1920-05-16,65,137
1920,1920-05-17,68,138
1920,1920-05-18,77,139
1920,1920-05-19,67,140
1920,1920-05-20,75,141
1920,1920-05-21,62,142
1920,1920-05-22,57,143
1920,1920-05-23,48,144
1920,1920-05-24,50,145
1920,1920-05-25,58,146
1920,1920-05-26,65,147
1920,1920-05-27,66,148
1920,1920-05-28,86,149
1920,1920-05-29,70,150
1920,1920-05-30,62,151
1920,1920-05-31,79,152
1920,1920-06-01,89,153
1920,1920-06-02,90,154
1920,1920-06-03,85,155
1920,1920-06-04,68,156
1920,1920-06-05,58,157
1920,1920-06-06,59,158
1920,1920-06-07,68,159
1920,1920-06-08,61,160
1920,1920-06-09,62,161
1920,1920-06-10,74,162
1920,1920-06-11,90,163
1920,1920-06-12,80,164
1920,1920-06-13,64,165
1920,1920-06-14,85,166
1920,1920-06-15,85,167
1920,1920-06-16,74,168
1920,1920-06-17,55,169
1920,1920-06-18,52,170
1920,1920-06-19,66,171
1920,1920-06-20,71,172
1920,1920-06-21,62,173
1920,1920-06-22,80,174
1920,1920-06-23,78,175
1920,1920-06-24,81,176
1920,1920-06-25,75,177
1920,1920-06-26,80,178
1920,1920-06-27,83,179
1920,1920-06-28,88,180
1920,1920-06-29,82,181
1920,1920-06-30,77,182
1920,1920-07-01,81,183
1920,1920-07-02,79,184
1920,1920-07-03,65,185
1920,1920-07-04,76,186
1920,1920-07-05,78,187
1920,1920-07-06,84,188
1920,1920-07-07,80,189
1920,1920-07-08,87,190
1920,1920-07-09,86,191
1920,1920-07-10,86,192
1920,1920-07-11,84,193
1920,1920-07-12,84,194
1920,1920-07-13,90,195
1920,1920-07-14,88,196
1920,1920-07-15,83,197
1920,1920-07-16,80,198
1920,1920-07-17,79,199
1920,1920-07-18,78,200
1920,1920-07-19,83,201
1920,1920-07-20,82,202
1920,1920-07-21,85,203
1920,1920-07-22,77,204
1920,1920-07-23,83,205
1920,1920-07-24,86,206
1920,1920-07-25,75,207
1920,1920-07-26,72,208
1920,1920-07-27,77,209
1920,1920-07-28,78,210
1920,1920-07-29,87,211
1920,1920-07-30,83,212
1920,1920-07-31,88,213
1920,1920-08-01,79,214
1920,1920-08-02,74,215
1920,1920-08-03,80,216
1920,1920-08-04,71,217
1920,1920-08-05,74,218
1920,1920-08-06,80,219
1920,1920-08-07,82,220
1920,1920-08-08,93,221
1920,1920-08-09,92,222
1920,1920-08-10,87,223
1920,1920-08-11,84,224
1920,1920-08-12,84,225
1920,1920-08-13,76,226
1920,1920-08-14,86,227
1920,1920-08-15,81,228
1920,1920-08-16,87,229
1920,1920-08-17,80,230
1920,1920-08-18,69,231
1920,1920-08-19,71,232
1920,1920-08-20,71,233
1920,1920-08-21,73,234
1920,1920-08-22,73,235
1920,1920-08-23,69,236
1920,1920-08-24,73,237
1920,1920-08-25,75,238
1920,1920-08-26,69,239
1920,1920-08-27,81,240
1920,1920-08-28,85,241
1920,1920-08-29,79,242
1920,1920-08-30,82,243
1920,1920-08-31,85,244
1920,1920-09-01,74,245
1920,1920-09-02,70,246
1920,1920-09-03,76,247
1920,1920-09-04,79,248
1920,1920-09-05,76,249
1920,1920-09-06,71,250
1920,1920-09-07,71,251
1920,1920-09-08,76,252
1920,1920-09-09,80,253
1920,1920-09-10,68,254
1920,1920-09-11,69,255
1920,1920-09-12,75,256
1920,1920-09-13,75,257
1920,1920-09-14,65,258
1920,1920-09-15,64,259
1920,1920-09-16,72,260
1920,1920-09-17,70,261
1920,1920-09-18,79,262
1920,1920-09-19,63,263
1920,1920-09-20,64,264
1920,1920-09-21,64,265
1920,1920-09-22,66,266
1920,1920-09-23,78,267
1920,1920-09-24,79,268
1920,1920-09-25,85,269
1920,1920-09-26,84,270
1920,1920-09-27,71,271
1920,1920-09-28,78,272
1920,1920-09-29,71,273
1920,1920-09-30,74,274
1920,1920-10-01,75,275
1920,1920-10-02,66,276
1920,1920-10-03,73,277
1920,1920-10-04,78,278
1920,1920-10-05,62,279
1920,1920-10-06,62,280
1920,1920-10-07,73,281
1920,1920-10-08,79,282
1920,1920-10-09,69,283
1920,1920-10-10,78,284
1920,1920-10-11,72,285
1920,1920-10-12,59,286
1920,1920-10-13,67,287
1920,1920-10-14,78,288
1920,1920-10-15,60,289
1920,1920-10-16,61,290
1920,1920-10-17,64,291
1920,1920-10-18,62,292
1920,1920-10-19,73,293
1920,1920-10-20,69,294
1920,1920-10-21,82,295
1920,1920-10-22,78,296
1920,1920-10-23,56,297
1920,1920-10-24,71,298
1920,1920-10-25,74,299
1920,1920-10-26,63,300
1920,1920-10-27,76,301
1920,1920-10-28,69,302
1920,1920-10-29,63,303
1920,1920-10-30,51,304
1920,1920-10-31,61,305
1920,1920-11-01,60,306
1920,1920-11-02,64,307
1920,1920-11-03,64,308
1920,1920-11-04,59,309
1920,1920-11-05,61,310
1920,1920-11-06,54,311
1920,1920-11-07,48,312
1920,1920-11-08,53,313
1920,1920-11-09,61,314
1920,1920-11-10,61,315
1920,1920-11-11,43,316
1920,1920-11-12,46,317
1920,1920-11-13,42,318
1920,1920-11-14,46,319
1920,1920-11-15,42,320
1920,1920-11-16,42,321
1920,1920-11-17,51,322
1920,1920-11-18,50,323
1920,1920-11-19,50,324
1920,1920-11-20,46,325
1920,1920-11-21,40,326
1920,1920-11-22,46,327
1920,1920-11-23,49,328
1920,1920-11-24,39,329
1920,1920-11-25,36,330
1920,1920-11-26,39,331
1920,1920-11-27,41,332
1920,1920-11-28,39,333
1920,1920-11-29,36,334
1920,1920-11-30,43,335
1920,1920-12-01,53,336
1920,1920-12-02,48,337
1920,1920-12-03,41,338
1920,1920-12-04,43,339
1920,1920-12-05,58,340
1920,1920-12-06,44,341
1920,1920-12-07,41,342
1920,1920-12-08,38,343
1920,1920-12-09,38,344
1920,1920-12-10,38,345
1920,1920-12-11,44,346
1920,1920-12-12,43,347
1920,1920-12-13,43,348
1920,1920-12-14,56,349
1920,1920-12-15,52,350
1920,1920-12-16,44,351
1920,1920-12-17,39,352
1920,1920-12-18,40,353
1920,1920-12-19,39,354
1920,1920-12-20,39,355
1920,1920-12-21,38,356
1920,1920-12-22,37,357
1920,1920-12-23,51,358
1920,1920-12-24,41,359
1920,1920-12-25,31,360
1920,1920-12-26,24,361
1920,1920-12-27,38,362
1920,1920-12-28,38,363
1920,1920-12-29,34,364
1920,1920-12-30,42,365
1920,1920-12-31,39,366
1921,1921-01-01,44,367
1921,1921-01-02,55,368
1921,1921-01-03,48,369
1921,1921-01-04,55,370
1921,1921-01-05,49,371
1921,1921-01-06,39,372
1921,1921-01-07,34,373
1921,1921-01-08,42,374
1921,1921-01-09,37,375
1921,1921-01-10,41,376
1921,1921-01-11,43,377
1921,1921-01-12,41,378
1921,1921-01-13,26,379
1921,1921-01-14,56,380
1921,1921-01-15,56,381
1921,1921-01-16,43,382
1921,1921-01-17,44,383
1921,1921-01-18,14,384
1921,1921-01-19,22,385
1921,1921-02-01,27,398
1921,1921-02-02,36,399
1921,1921-02-03,40,400
1921,1921-02-04,38,401
1921,1921-02-05,53,402
1921,1921-02-06,50,403
1921,1921-02-07,43,404
1921,1921-02-08,34,405
1921,1921-02-09,36,406
1921,1921-02-10,43,407
1921,1921-02-11,36,408
1921,1921-02-12,38,409
1921,1921-02-13,39,410
1921,1921-02-14,45,411
1921,1921-02-15,38,412
1921,1921-02-16,59,413
1921,1921-02-17,53,414
1921,1921-02-18,37,415
1921,1921-02-19,41,416
1921,1921-02-20,34,417
1921,1921-02-21,26,418
1921,1921-02-22,35,419
1921,1921-02-23,42,420
1921,1921-02-24,38,421
1921,1921-02-25,25,422
1921,1921-02-26,40,423
1921,1921-02-27,39,424
1921,1921-02-28,44,425
1921,1921-03-01,54,426
1921,1921-03-02,55,427
1921,1921-03-03,52,428
1921,1921-03-04,44,429
1921,1921-03-05,36,430
1921,1921-03-06,63,431
1921,1921-03-07,52,432
1921,1921-03-08,52,433
1921,1921-03-09,68,434
1921,1921-03-10,57,435
1921,1921-03-11,59,436
1921,1921-03-12,60,437
1921,1921-03-13,61,438
1921,1921-03-14,45,439
1921,1921-03-15,51,440
1921,1921-03-16,62,441
1921,1921-03-17,56,442
1921,1921-03-18,45,443
1921,1921-03-19,44,444
1921,1921-03-20,77,445
1921,1921-03-21,83,446
1921,1921-03-22,50,447
1921,1921-03-23,42,448
1921,1921-03-24,53,449
1921,1921-03-25,72,450
1921,1921-03-26,60,451
1921,1921-03-27,52,452
1921,1921-03-28,73,453
1921,1921-03-29,41,454
1921,1921-03-30,46,455
1921,1921-03-31,64,456
1921,1921-04-01,58,457
1921,1921-04-02,56,458
1921,1921-04-03,68,459
1921,1921-04-04,61,460
1921,1921-04-05,71,461
1921,1921-04-06,62,462
1921,1921-04-07,41,463
1921,1921-04-08,61,464
1921,1921-04-09,77,465
1921,1921-04-10,54,466
1921,1921-04-11,42,467
1921,1921-04-12,62,468
1921,1921-04-13,68,469
1921,1921-04-14,61,470
1921,1921-04-15,68,471
1921,1921-04-16,71,472
1921,1921-04-17,62,473
1921,1921-04-18,40,474
1921,1921-04-19,48,475
1921,1921-04-20,72,476
1921,1921-04-21,76,477
1921,1921-04-22,62,478
1921,1921-04-23,47,479
1921,1921-04-24,54,480
1921,1921-04-25,58,481
1921,1921-04-26,59,482
1921,1921-04-27,58,483
1921,1921-04-28,66,484
1921,1921-04-29,52,485
1921,1921-04-30,49,486
1921,1921-05-01,50,487
1921,1921-05-02,50,488
1921,1921-05-03,61,489
1921,1921-05-04,56,490
1921,1921-05-05,48,491
1921,1921-05-06,51,492
1921,1921-05-07,55,493
1921,1921-05-08,58,494
1921,1921-05-09,70,495
1921,1921-05-10,62,496
1921,1921-05-11,53,497
1921,1921-05-12,55,498
1921,1921-05-13,61,499
1921,1921-05-14,66,500
1921,1921-05-15,82,501
1921,1921-05-16,66,502
1921,1921-05-17,64,503
1921,1921-05-18,78,504
1921,1921-05-19,60,505
1921,1921-05-20,78,506
1921,1921-05-21,93,507
1921,1921-05-22,92,508
1921,1921-05-23,74,509
1921,1921-05-24,55,510
1921,1921-05-25,52,511
1921,1921-05-26,70,512
1921,1921-05-27,80,513
1921,1921-05-28,83,514
1921,1921-05-29,66,515
1921,1921-05-30,72,516
1921,1921-05-31,89,517
1921,1921-06-01,72,518
1921,1921-06-02,68,519
1921,1921-06-03,80,520
1921,1921-06-04,71,521
1921,1921-06-05,67,522
1921,1921-06-06,70,523
1921,1921-06-07,78,524
1921,1921-06-08,81,525
1921,1921-06-09,84,526
1921,1921-06-10,84,527
1921,1921-06-11,82,528
1921,1921-06-12,85,529
1921,1921-06-13,82,530
1921,1921-06-14,69,531
1921,1921-06-15,75,532
1921,1921-06-16,78,533
1921,1921-06-17,77,534
1921,1921-06-18,67,535
1921,1921-06-19,65,536
1921,1921-06-20,82,537
1921,1921-06-21,88,538
1921,1921-06-22,93,539
1921,1921-06-23,86,540
1921,1921-06-24,90,541
1921,1921-06-25,80,542
1921,1921-06-26,77,543
1921,1921-06-27,79,544
1921,1921-06-28,71,545
1921,1921-06-29,70,546
1921,1921-06-30,63,547
1921,1921-07-01,60,548
1921,1921-07-02,70,549
1921,1921-07-03,81,550
1921,1921-07-04,90,551
1921,1921-07-05,68,552
1921,1921-07-06,79,553
1921,1921-07-07,90,554
1921,1921-07-08,81,555
1921,1921-07-09,79,556
1921,1921-07-10,73,557
1921,1921-07-11,68,558
1921,1921-07-12,69,559
1921,1921-07-13,87,560
1921,1921-07-14,89,561
1921,1921-07-15,82,562
1921,1921-07-16,72,563
1921,1921-07-17,83,564
1921,1921-07-18,88,565
1921,1921-07-19,85,566
1921,1921-07-20,89,567
1921,1921-07-21,69,568
1921,1921-07-22,74,569
1921,1921-07-23,70,570
1921,1921-07-24,89,571
1921,1921-07-25,95,572
1921,1921-07-26,93,573
1921,1921-07-27,94,574
1921,1921-07-28,95,575
1921,1921-07-29,79,576
1921,1921-07-30,72,577
1921,1921-07-31,77,578
1921,1921-08-01,74,579
1921,1921-08-02,70,580
1921,1921-08-03,72,581
1921,1921-08-04,74,582
1921,1921-08-05,77,583
1921,1921-08-06,80,584
1921,1921-08-07,82,585
1921,1921-08-08,82,586
1921,1921-08-09,79,587
1921,1921-08-10,81,588
1921,1921-08-11,86,589
1921,1921-08-12,85,590
1921,1921-08-13,73,591
1921,1921-08-14,79,592
1921,1921-08-15,76,593
1921,1921-08-16,80,594
1921,1921-08-17,80,595
1921,1921-08-18,74,596
1921,1921-08-19,83,597
1921,1921-08-20,85,598
1921,1921-08-21,73,599
1921,1921-08-22,73,600
1921,1921-08-23,73,601
1921,1921-08-24,72,602
1921,1921-08-25,72,603
1921,1921-08-26,70,604
1921,1921-08-27,69,605
1921,1921-08-28,75,606
1921,1921-08-29,89,607
1921,1921-08-30,92,608
1921,1921-08-31,80,609
1921,1921-09-01,81,610
1921,1921-09-02,93,611
1921,1921-09-03,93,612
1921,1921-09-04,75,613
1921,1921-09-05,68,614
1921,1921-09-06,86,615
1921,1921-09-07,77,616
1921,1921-09-08,77,617
1921,1921-09-09,76,618
1921,1921-09-10,85,619
1921,1921-09-11,74,620
1921,1921-09-12,73,621
1921,1921-09-13,81,622
1921,1921-09-14,72,623
1921,1921-09-15,80,624
1921,1921-09-16,74,625
1921,1921-09-17,71,626
1921,1921-09-18,79,627
1921,1921-09-19,72,628
1921,1921-09-20,64,629
1921,1921-09-21,68,630
1921,1921-09-22,82,631
1921,1921-09-23,81,632
1921,1921-09-24,70,633
1921,1921-09-25,73,634
1921,1921-09-26,73,635
1921,1921-09-27,74,636
1921,1921-09-28,82,637
1921,1921-09-29,76,638
1921,1921-09-30,77,639
1921,1921-10-01,70,640
1921,1921-10-02,78,641
1921,1921-10-03,71,642
1921,1921-10-04,70,643
1921,1921-10-05,60,644
1921,1921-10-06,71,645
1921,1921-10-07,74,646
1921,1921-10-08,75,647
1921,1921-10-09,55,648
1921,1921-10-10,71,649
1921,1921-10-11,64,650
1921,1921-10-12,63,651
1921,1921-10-13,56,652
1921,1921-10-14,71,653
1921,1921-10-15,79,654
1921,1921-10-16,65,655
1921,1921-10-17,53,656
1921,1921-10-18,63,657
1921,1921-10-19,72,658
1921,1921-10-20,68,659
1921,1921-10-21,56,660
1921,1921-10-22,69,661
1921,1921-10-23,63,662
1921,1921-10-24,54,663
1921,1921-10-25,51,664
1921,1921-10-26,47,665
1921,1921-10-27,60,666
1921,1921-10-28,57,667
1921,1921-10-29,56,668
1921,1921-10-30,54,669
1921,1921-10-31,62,670
1921,1921-11-01,56,671
1921,1921-11-02,53,672
1921,1921-11-03,47,673
1921,1921-11-04,53,674
1921,1921-11-05,52,675
1921,1921-11-06,44,676
1921,1921-11-07,48,677
1921,1921-11-08,40,678
1921,1921-11-09,43,679
1921,1921-11-10,44,680
