"","convicted","catholic","female","age","educ","foreignborn"
"1",0,1,0,22,16,0
"2",0,1,0,21,12,0
"3",1,0,0,42,12,0
"4",0,0,1,49,13,0
"5",0,0,1,70,16,0
"6",0,0,1,50,19,0
"7",0,0,1,35,15,0
"8",0,1,1,24,11,1
"9",1,0,1,28,17,0
"10",1,1,0,55,10,0
"11",0,0,1,36,16,0
"12",0,0,1,28,12,0
"13",0,0,1,59,12,0
"14",0,1,0,52,4,1
"15",0,0,1,35,13,0
"16",0,1,0,36,12,1
"17",0,0,1,47,13,0
"18",0,1,1,18,12,0
"19",0,1,1,76,0,1
"20",0,1,0,39,10,1
"21",0,0,0,54,14,0
"22",0,0,1,45,16,1
"23",0,0,0,71,12,0
"24",0,0,1,42,17,1
"25",0,0,0,22,15,0
"26",0,1,1,81,16,0
"27",0,0,1,44,13,0
"28",0,1,0,78,16,0
"29",0,1,1,63,14,0
"30",0,0,0,73,19,0
"31",0,0,0,40,16,1
"32",0,1,1,42,14,0
"33",0,0,0,62,18,0
"34",0,0,1,49,12,0
"35",0,0,1,27,17,0
"36",0,0,1,30,14,0
"37",0,0,1,29,18,1
"38",0,0,1,69,14,0
"39",0,0,1,51,18,0
"40",0,1,1,57,16,0
"41",0,0,0,44,16,0
"42",0,0,1,73,16,0
"43",0,0,1,73,16,0
"44",0,0,0,68,16,0
"45",0,0,1,84,16,0
"46",0,0,0,63,19,0
"47",0,1,0,57,16,0
"48",0,1,1,42,16,1
"49",0,0,1,45,20,1
"50",0,0,0,38,14,0
"51",0,0,0,46,20,0
"52",0,0,1,51,20,1
"53",0,0,1,41,14,1
"54",0,0,1,81,8,1
"55",0,0,1,41,9,1
"56",0,0,1,67,19,0
"57",0,1,1,45,17,0
"58",0,0,0,35,16,1
"59",0,0,1,21,14,0
"60",0,0,1,49,16,0
"61",1,0,0,46,16,0
"62",0,1,1,51,14,0
"63",0,0,0,28,16,1
"64",0,0,0,47,17,0
"65",0,0,0,48,14,1
"66",0,0,0,46,16,0
"67",0,1,0,68,12,0
"68",0,1,1,56,16,0
"69",0,1,1,43,14,0
"70",0,0,1,32,13,1
"71",0,1,1,23,12,0
"72",0,0,1,32,18,0
"73",0,0,0,44,16,0
"74",0,0,1,49,20,1
"75",0,0,1,64,12,1
"76",0,0,1,30,19,1
"77",0,1,1,51,12,1
"78",0,1,0,84,13,0
"79",0,0,0,32,14,0
"80",0,0,1,54,18,1
"81",0,0,1,34,20,1
"82",0,0,1,33,16,1
"83",0,1,1,48,12,0
"84",0,0,0,54,16,0
"85",0,0,1,19,13,1
"86",0,0,0,41,16,1
"87",0,1,1,23,17,0
"88",0,0,0,51,12,1
"89",0,0,1,75,16,0
"90",0,0,0,24,14,0
"91",0,1,0,26,20,0
"92",0,0,1,47,19,1
"93",1,0,1,55,13,0
"94",0,0,1,55,18,0
"95",0,1,0,43,17,0
"96",0,0,0,71,16,0
"97",0,1,1,32,16,1
"98",0,0,0,63,17,0
"99",0,0,1,50,12,0
"100",0,0,0,60,12,0
"101",0,1,1,33,14,0
"102",0,0,1,40,18,0
"103",0,1,0,68,12,1
"104",0,1,1,69,14,0
"105",0,0,0,71,18,0
"106",0,0,0,23,15,0
"107",0,0,0,28,16,0
"108",0,0,0,49,12,0
"109",0,1,1,66,16,0
"110",0,0,1,36,20,0
"111",0,1,0,53,19,0
"112",0,1,1,40,6,1
"113",0,0,1,34,12,0
"114",0,1,0,62,12,0
"115",0,1,1,32,12,0
"116",0,0,0,29,16,1
"117",0,0,0,34,12,0
"118",0,0,1,36,13,0
"119",0,0,1,49,16,1
"120",0,0,0,60,16,0
"121",1,0,0,78,16,0
"122",0,0,1,39,14,0
"123",0,0,0,73,16,0
"124",0,0,1,67,16,1
"125",0,0,0,22,6,0
"126",0,1,1,27,14,1
"127",1,1,0,41,14,0
"128",0,0,1,33,9,1
"129",0,1,0,22,11,0
"130",0,0,1,66,14,0
"131",0,0,1,35,13,1
"132",0,1,0,52,12,1
"133",0,0,0,63,14,1
"134",0,0,0,31,13,1
"135",0,0,1,29,17,1
"136",0,0,0,50,17,1
"137",0,1,0,47,12,0
"138",0,0,1,65,12,0
"139",0,0,0,62,13,0
"140",0,0,1,18,13,0
"141",0,1,1,28,16,0
"142",0,1,0,24,16,0
"143",0,0,0,40,16,1
"144",0,0,1,24,15,0
"145",0,0,1,21,14,0
"146",0,0,1,22,15,0
"147",0,1,0,24,16,0
"148",0,1,0,22,11,0
"149",0,0,0,21,15,0
"150",1,0,0,67,16,0
"151",0,0,1,32,19,0
"152",0,1,0,38,9,1
"153",0,1,1,55,12,0
"154",1,1,0,40,14,0
"155",1,0,0,38,11,0
"156",0,0,0,52,13,1
"157",0,0,1,34,16,0
"158",0,0,1,22,16,0
"159",0,0,0,56,17,0
"160",0,1,1,60,12,0
"161",0,1,0,39,16,1
"162",0,0,1,33,16,0
"163",0,0,0,67,12,0
"164",0,0,0,51,12,0
"165",1,0,0,65,12,0
"166",1,0,1,42,16,0
"167",0,1,1,65,12,0
"168",1,0,1,25,13,0
"169",1,0,1,36,12,0
"170",1,0,1,38,14,0
"171",0,0,0,18,12,0
"172",0,1,0,38,9,1
"173",0,1,1,41,9,1
"174",0,0,0,20,14,0
"175",1,0,0,39,16,0
"176",0,1,1,25,17,1
"177",0,1,0,57,14,1
"178",0,0,1,61,13,1
"179",0,1,0,31,16,1
"180",0,0,1,62,19,0
"181",0,0,0,30,12,1
"182",0,0,1,68,14,0
"183",0,1,0,50,16,1
"184",1,0,0,27,12,0
"185",1,0,0,30,16,0
"186",0,1,1,65,14,1
"187",0,1,1,65,18,0
"188",0,0,0,36,19,0
"189",0,0,0,72,12,0
"190",0,1,1,27,12,0
"191",0,0,1,54,11,0
"192",1,0,0,18,11,0
"193",0,0,1,38,12,0
"194",0,0,1,67,12,0
"195",0,0,0,48,12,0
"196",0,0,0,64,19,0
"197",0,0,1,89,19,0
"198",0,1,1,48,12,1
"199",0,1,0,42,15,0
"200",0,0,1,26,16,0
"201",0,0,1,68,12,0
"202",0,0,1,61,14,0
"203",0,1,1,35,6,1
"204",0,0,0,53,17,0
"205",1,1,0,32,12,0
"206",0,1,0,61,14,1
"207",0,1,0,28,10,0
"208",0,1,0,39,12,1
"209",0,1,0,61,16,0
"210",0,1,0,65,18,0
"211",0,0,0,34,18,0
"212",0,1,0,87,12,0
"213",0,0,0,24,16,0
"214",0,0,1,39,12,0
"215",0,0,0,32,14,0
"216",0,0,1,54,16,1
"217",0,0,1,55,14,0
"218",1,0,1,53,16,0
"219",0,0,0,62,14,0
"220",0,1,0,39,6,1
"221",0,1,1,30,12,0
"222",0,0,1,89,8,0
"223",0,1,1,35,12,0
"224",0,1,1,73,16,0
"225",0,0,1,69,16,0
"226",0,0,1,89,12,1
"227",0,0,0,55,16,0
"228",0,1,1,78,12,0
"229",0,0,0,43,17,0
"230",0,0,1,68,16,0
"231",0,0,0,71,16,0
"232",0,0,1,47,16,0
"233",0,1,0,55,16,0
"234",0,0,1,49,12,0
"235",0,0,1,68,14,0
"236",0,0,0,47,11,0
"237",0,0,0,59,14,0
"238",1,0,1,74,16,0
"239",0,0,0,71,14,0
"240",0,1,1,32,12,0
"241",0,0,0,30,16,0
"242",0,0,1,38,16,0
"243",0,0,1,41,16,1
"244",0,0,1,62,20,0
"245",0,0,1,52,16,0
"246",0,1,1,61,13,0
"247",0,0,0,52,16,0
"248",0,1,0,33,14,0
"249",0,0,1,65,16,0
"250",0,0,0,55,12,0
"251",0,0,1,45,14,1
"252",0,1,0,35,9,1
"253",0,0,1,36,14,0
"254",0,0,1,43,16,1
"255",0,0,0,64,14,0
"256",0,0,0,38,18,0
"257",0,0,0,25,14,0
"258",0,0,0,81,18,0
"259",1,0,1,23,12,0
"260",0,1,1,21,12,0
"261",0,1,1,56,12,0
"262",0,0,1,30,11,0
"263",0,0,0,69,12,0
"264",0,1,1,62,12,0
"265",0,1,0,39,16,0
"266",0,0,0,25,18,0
"267",0,0,0,46,18,0
"268",0,0,0,57,6,1
"269",0,0,0,20,13,0
"270",0,0,1,53,16,0
"271",0,0,0,53,16,0
"272",0,0,1,42,8,1
"273",0,0,0,63,18,0
"274",0,0,0,55,20,0
"275",0,0,0,54,17,0
"276",0,0,0,77,20,0
"277",0,0,1,48,16,0
"278",0,0,1,52,4,1
"279",1,0,0,31,13,0
"280",0,0,1,57,12,0
"281",1,0,0,21,12,0
"282",0,0,1,50,15,0
"283",0,0,1,38,16,0
"284",0,0,0,26,14,0
"285",0,0,1,33,14,0
"286",0,0,1,44,17,0
"287",0,0,0,25,16,0
"288",0,0,1,27,16,0
"289",0,1,0,27,16,0
"290",0,0,1,28,16,0
"291",0,1,0,22,16,0
"292",0,1,1,48,17,0
"293",1,1,0,89,8,0
"294",0,1,1,49,17,0
"295",0,1,1,87,12,0
"296",0,0,0,64,17,0
"297",0,1,0,57,9,0
"298",0,1,1,46,16,0
"299",0,0,1,58,16,0
"300",0,0,1,78,16,0
"301",0,1,1,45,19,0
