"state","county","deaths","pop"
"ALABAMA","AUTAUGA",2,61921
"ALABAMA","BALDWIN",7,170945
"ALABAMA","BARBOUR",0,33316
"ALABAMA","BIBB",0,30152
"ALABAMA","BLOUNT",3,88342
"ALABAMA","BULLOCK",0,8313
"ALABAMA","BUTLER",0,31963
"ALABAMA","CALHOUN",9,243105
"ALABAMA","CHAMBERS",7,59985
"ALABAMA","CHEROKEE",0,43401
"ALABAMA","CHILTON",2,65792
"ALABAMA","CHOCTAW",1,22741
"ALABAMA","CLARKE",1,38611
"ALABAMA","CLAY",3,27846
"ALABAMA","CLEBURNE",2,29718
"ALABAMA","COFFEE",3,80334
"ALABAMA","COLBERT",3,108797
"ALABAMA","CONECUH",2,22009
"ALABAMA","COOSA",2,18003
"ALABAMA","COVINGTON",4,76229
"ALABAMA","CRENSHAW",1,24885
"ALABAMA","CULLMAN",9,150894
"ALABAMA","DALE",0,102940
"ALABAMA","DALLAS",3,56506
"ALABAMA","DE.KALB",5,127659
"ALABAMA","ELMORE",2,84767
"ALABAMA","ESCAMBIA",3,63039
"ALABAMA","ETOWAH",8,212029
"ALABAMA","FAYETTE",0,40023
"ALABAMA","FRANKLIN",7,65356
"ALABAMA","GENEVA",3,50623
"ALABAMA","GREENE",0,5657
"ALABAMA","HALE",0,14014
"ALABAMA","HENRY",0,22904
"ALABAMA","HOUSTON",3,142039
"ALABAMA","JACKSON",7,118182
"ALABAMA","JEFFERSON",58,1041498
"ALABAMA","LAMAR",1,35084
"ALABAMA","LAUDERDALE",4,175112
"ALABAMA","LAWRENCE",4,61661
"ALABAMA","LEE",4,150403
"ALABAMA","LIMESTONE",3,97851
"ALABAMA","LOWNDES",0,7751
"ALABAMA","MACON",1,10456
"ALABAMA","MADISON",16,395440
"ALABAMA","MARENGO",3,28332
"ALABAMA","MARION",4,72342
"ALABAMA","MARSHALL",5,158659
"ALABAMA","MOBILE",23,615192
"ALABAMA","MONROE",0,31423
"ALABAMA","MONTGOMERY",9,284824
"ALABAMA","MORGAN",7,199704
"ALABAMA","PERRY",1,13873
"ALABAMA","PICKENS",4,30717
"ALABAMA","PIKE",1,43597
"ALABAMA","RANDOLPH",2,36537
"ALABAMA","RUSSELL",5,68558
"ALABAMA","SAINT.CLAIR",3,94195
"ALABAMA","SHELBY",1,157152
"ALABAMA","SUMTER",0,12791
"ALABAMA","TALLADEGA",7,124823
"ALABAMA","TALLAPOOSA",8,67871
"ALABAMA","TUSCALOOSA",14,248411
"ALABAMA","WALKER",11,153192
"ALABAMA","WASHINGTON",0,28730
"ALABAMA","WILCOX",2,11144
"ALABAMA","WINSTON",2,53346
"ALASKA","Alaska",20,955140
"ARIZONA","APACHE",2,31666
"ARIZONA","COCHISE",6,205855
"ARIZONA","COCONINO",1,140337
"ARIZONA","GILA",2,80228
"ARIZONA","GRAHAM",7,51342
"ARIZONA","GREENLEE",2,27215
"ARIZONA","MARICOPA",172,3728024
"ARIZONA","MOHAVE",8,149437
"ARIZONA","NAVAJO",4,85480
"ARIZONA","PIMA",68,1279446
"ARIZONA","PINAL",8,211886
