id,stat104,stat110,stat139,cs50,r,freshman,sophomore,junior,senior,female,height,weight,iphone,looks,sleep,haircut,smoke,snap,righthanded,manual,vegetarian,glasses,coffee,blonde,shower_away,fastestdriven,relationship,siblings,texts,exercise,random,ttest
1,0,1,1,0,1,0,0,0,0,1,63,113,1,40,8,80,0,1,1,0,1,1,0,0,0,50,1,0,30,2,88,0.5
2,0,1,0,0,0,0,1,0,0,1,55,135,1,35,8,85,0,1,0,1,1,0,0,1,1,115,0,1,45,7,69,0
4,0,1,0,1,0.5,0,1,0,0,0,69,135,0,0,7,20,0,1,1,0,0,1,0,0,1,105,0.5,2,25,2,44,0.5
5,1,1,0,0,0.5,0,1,0,0,0,73,175,1,25,8,15,0,1,1,1,0,0,0,1,1,144,0,1,200,14,83,0
6,0,1,0,1,0.5,0,1,0,0,0,69,175,1,40,8,22,0,1,1,0,0,1,0,0,0,85,1,1,50,6,9,0
7,0,1,0,1,0.5,0,1,0,0,1,71,140,1,15,7,35,0,1,1,0,0,0,0,0,1,80,1,1,70,5,17,0
10,0,1,0,1,0.5,0,1,0,0,1,62,108,1,15,8,42,0,1,0,1,0,0,1,0,0,85,1,2,150,3,79,0
11,0,1,0,0,1,0,0,0,0,0,76,190,1,0,7,16,0,1,1,1,0,1,0,0,0,100,0.5,5,10,1,72,0
12,0,1,0,0,1,0,0,0,0,1,62,116,1,40,8,64,0,1,0,0,0,1,1,0,1,110,0,1,30,7,74,0
13,0,1,0,0,0,1,0,0,0,0,72,165,1,5,8,20,0,1,1,0,0,0,0,0,0,20,0,2,10,10,79,0
14,1,1,0,1,0.5,0,1,0,0,0,72,185,1,0,8,20,0,1,1,0,0,1,0,0,0,95,0.5,1,50,7,17,0.5
15,1,1,0,1,1,0,0,0,1,0,72,163,1,25,6,28,0,1,1,0,0,0,0,1,1,110,1,6,15,1,97,0.5
16,1,1,0,1,0,0,0,1,0,0,74,190,1,40,7,20,0,1,1,0,0,1,0,0,1,100,1,1,30,2,28,0
17,0,1,0,0,0.5,0,0,0,0,0,68,140,0,50,8,18,0,1,1,0,1,1,0,0,0,140,0,2,3,2,5,0.5
19,0,1,0,1,0,0,0,0,1,0,71,165,0,10,7,20,0,1,1,0,0,1,0,0,1,85,0,1,20,10,77,0
20,1,1,0,1,0,0,1,0,0,1,57,125,1,50,5,30,0,1,1,0,0,1,0,0,1,100,0,0,100,1,57,0
21,0,1,1,0,1,0,0,0,0,0,71,145,0,40,7,18,0,1,1,1,0,1,0,1,1,100,0,1,2,1,2,0
22,0,1,0,0,0,0,1,0,0,0,70,163,1,20,7,35,0,1,1,0,0,0,1,0,1,90,1,1,50,12,28,0
23,0,1,0,1,0,0,0,0,1,0,70,180,1,65,8,18,0,1,1,0,0,1,1,0,0,95,0,1,5,3,12,0
24,0,1,0,1,1,0,1,0,0,1,55,110,1,50,9,18,0,0,1,0,0,1,0,0,1,65,1,2,10,0,67,0
25,0,1,0,1,1,0,1,0,0,0,57,147,1,33,7.5,0,0,1,1,0,0,1,0,0,0,70,1,1,30,6,157,0
26,0,0,0,0,0.5,0,0,0,0,1,53,120,1,20,8,50,0,1,1,1,0,1,0,0,1,120,1,1,10,2,56,0
27,1,1,0,0,0.5,0,1,0,0,0,70,145,1,50,7,20,1,1,1,1,0,0,0,1,1,160,0.5,1,60,10,23,0
28,1,1,1,0,1,0,0,1,0,1,66,140,1,50,7,25,0,1,1,0,0,0,0,0,1,110,0,1,40,10,24,0.5
30,0,1,1,0,0.5,0,0,0,0,1,64,100,1,50,10,85,0,0,1,1,0,1,1,0,1,40,1,1,15,2,17,0.5
31,1,1,0,1,0,0,1,0,0,1,61,102,1,40,8,40,0,1,1,0,0,1,0,0,1,80,0,1,20,10,15,0
32,0,1,0,0,0,0,1,0,0,0,68,130,1,50,7,18,0,1,1,0,0,1,0,0,0,70,1,2,7,2,92,0
34,0,1,0,0,0.5,1,0,0,0,1,64,120,1,40,7,12,0,1,1,0,0,1,0,0,1,70,0,0,15,1,97,0
35,0,1,0,1,0,0,1,0,0,1,56,117,1,50,9,80,0,1,1,0,0,1,0,1,1,100,0,2,10,3,50,0
36,0,1,0,0,0,0,1,0,0,0,68,228,1,65,4,27,0,1,0,0,0,1,0,0,0,90,0,2,30,5,13,0
37,1,1,1,1,1,0,0,1,0,0,75,185,1,60,8.5,20,1,1,1,0,0,0,0,0,0,95,0,3,20,16,42,0.5
38,0,1,0,1,0.5,0,1,0,0,0,69,132,0,20,7,15,0,1,1,0,0,1,0,0,0,90,0.5,1,20,2,21,0
39,1,1,0,0,0,0,1,0,0,0,70,152,0,0,8,0,0,1,1,1,0,0,0,0,1,80,0,2,20,20,69,0
40,0,1,0,1,0,0,0,1,0,1,64,105,1,50,8,20,0,1,1,0,0,1,0,0,1,40,0,0,52,5,4,0
41,1,1,1,1,1,0,0,0,1,0,73,175,0,69,8.5,30,0,1,1,1,0,0,0,1,0,95,1,2,50,6,61,0.5
42,1,1,0,0,0.5,0,1,0,0,1,51,107,0,1,6,220,0,1,1,0,0,1,0,0,1,85,0,1,35,9,76,0.5
43,0,1,0,1,0.5,0,1,0,0,0,68,154,0,0,7,208,0,0,1,0,0,1,0,0,0,0,0,1,20,2,1,0
44,1,1,0,1,0,0,1,0,0,1,67,123,0,0,8,20,0,0,1,0,0,1,0,0,1,85,1,1,5,2,48,0
45,1,1,0,0,0,0,0,1,0,1,66,145,0,50,8,200,0,1,1,0,0,1,1,0,1,100,0,3,20,6,21,1
46,1,1,1,0,1,0,0,1,0,1,62,135,1,66,8,20,0,1,1,0,0,1,0,0,1,90,0,1,20,1,78,1
