State,repubshift,female,obama12,romney,mccain,HSGrad,BGrad,Single,Poverty,UnEmpl,divorce,deathrate,over65,density,alcohol,smokers,college,asthma,margin,other,gsp,college,college_group,nonwhite,christian,drinkers,drink_group,smokers,region,south,west,midwest,population,math_scores,math_score_gender_diff,vegetables,physical_activity,obese,injury_death_rate,iq
Alabama,0.15,51.92107996,38.36,60.55,60.4,75.3,19,25,12.6,4,5.4,999.9,13.1,87.6,4,18.7,22.3,8.6,-22.19,1.1,33264,24.6,1,29.4,39,4.5,2,24.8,S,1,0,0,4525375,262.21,-3.16,20.1,20.3,28.9,73.73,95.7
Alaska,-5.4,49.21259843,40.81,54.8,60.2,88.3,24.7,17.2,8.4,6.5,4.6,794.1,5.8,1.1,5.1,16.3,25.5,9,-13.99,4.39,59238,29.2,2,26.2,51,5.1,2,24.9,W,0,1,0,657755,278.96,2.44,24.8,35.9,27.4,87.79,99
Arizona,-0.32,50.42864347,44.45,53.48,53.8,81,23.5,19.9,13.1,4.7,4.7,800.5,13.2,45.2,4.7,13.4,28,7.1,-9.03,2.07,36457,30.8,3,31.1,42,14.6,3,20.2,W,0,1,0,5739879,274.31,0.24,23.7,28.9,21.1,75.51,97.4
Arkansas,1.77,51.04645227,36.88,60.57,58.8,75.3,16.7,22.5,15.4,5.9,6.2,966.9,14.3,51.3,4.2,19.4,18.8,7.3,-23.69,2.55,31215,26.7,1,17.8,64,3.2,1,23.5,S,1,0,0,2750000,271.64,-2.6,21,24.8,28,75.67,97.5
California,-0.13,50.45408678,60.16,37.07,37.2,76.8,26.6,19.3,10.5,6.1,4.3,758.1,10.4,217.1,5.9,10,31.7,7.6,23.09,2.77,44894,31.1,3,53,66,12.6,3,15.2,W,0,1,0,35842038,268.56,1.21,28.9,36.2,22.7,47.87,95.5
Colorado,1.19,49.80079681,51.45,46.09,44.9,86.9,32.7,17.3,9.1,4.5,4.7,795.7,10.8,41.5,4.7,13.8,35.5,8.7,5.36,2.47,46416,38,4,22.5,64,5.1,2,19.8,W,0,1,0,4601821,280.82,0.01,24.5,32.6,17.8,65.71,101.6
Connecticut,2.42,51.30836326,58.06,40.72,38.3,84,31.4,20.4,6.1,5,3.3,760.3,14,702.9,5.9,13.1,34.5,9.7,17.34,1.22,55193,43.4,4,16.4,71,8.6,3,16.5,NE,0,0,0,3498966,281.07,-0.11,27.4,31,20.1,45.51,103.1
Delaware,2.98,51.30836326,58.61,39.98,37,82.6,25,23.3,7.3,3.8,3.5,840.9,12.6,401.1,6.8,18.7,26.9,9.9,18.63,1.41,66961,37.7,4,22.1,59,5.4,2,20.6,NE,0,0,0,830069,280.95,3.23,21.3,24.9,23.5,51.63,100.4
Florida,0.63,51.41388175,49.9,49.03,48.4,79.9,22.3,23.7,9,4.7,5.1,787.8,18.1,296.4,5.3,14.5,26,9.2,0.87,1.07,37846,31,3,35.7,36,16.6,3,21.7,S,1,0,0,17385430,274.05,4,26.2,24.6,22.8,64.83,98.4
Georgia,0.99,50.94243505,45.39,53.19,52.2,78.6,24.3,24.2,10.6,4.8,2.5,953.4,9.9,141.4,4.9,15,27.6,7.2,-7.8,1.43,40103,30.7,3,36.8,41,4,1,22.1,S,1,0,0,8918129,272.19,0.75,23.2,23.7,26.5,63.5,98
Hawaii,1.24,50.55611729,70.55,27.84,26.6,84.6,26.2,18.8,6.4,3.2,3.7,659.6,12.5,188.6,7.6,17,26.6,7.4,42.71,1.62,42361,36,4,73.3,40,17.6,3,17,W,0,1,0,1262124,265.63,-1.22,24.5,30.2,19.7,44.05,95.6
